交易日期,股票名称,股票代码,预计股数,预估资金,资金分配,选股日期,策略,持仓周期,换仓时间,目标资金占比,择时信号,分批进场仓位,选股因子排名,调仓类型
2026-02-05,宁波联合,sh600051,0,0.0,,2026-02-04,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,1.0,计划
2026-02-05,我乐家居,sh603326,0,0.0,,2026-02-04,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,3.0,计划
2026-02-05,立霸股份,sh603519,0,0.0,,2026-02-04,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,5.0,计划
2026-02-05,汇洁股份,sz002763,0,0.0,,2026-02-04,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,4.0,计划
2026-02-05,新大正,sz002968,0,0.0,,2026-02-04,X1-选股精心随机混合#0.小市值_行业高分红,W_3,1015-1015,,0,,2.0,计划
2026-02-05,众源新材,sh603527,0,0.0,,2026-02-04,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,,0,,2.0,计划
2026-02-05,太钢不锈,sz000825,0,0.0,,2026-02-04,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,,0,,3.0,计划
2026-02-05,中科三环,sz000970,0,0.0,,2026-02-04,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,,0,,1.0,计划
2026-02-05,安 纳 达,sz002136,0,0.0,,2026-02-04,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,,0,,5.0,计划
2026-02-05,国星光电,sz002449,0,0.0,,2026-02-04,X1-选股精心随机混合#1.中等生策略,W_3,1015-1015,,0,,4.0,计划
2026-02-05,华能水电,sh600025,100,912.0,1000.0,2026-02-04,X1-选股精心随机混合#2.低波大市值,W_3,open,0.01,1,0.2,4.0,计划
2026-02-05,工商银行,sh601398,100,724.0,1000.0,2026-02-04,X1-选股精心随机混合#2.低波大市值,W_3,open,0.01,1,0.2,1.0,计划
2026-02-05,中国建筑,sh601668,100,514.0,1000.0,2026-02-04,X1-选股精心随机混合#2.低波大市值,W_3,open,0.01,1,0.2,4.0,计划
2026-02-05,京沪高铁,sh601816,200,986.0,1000.0,2026-02-04,X1-选股精心随机混合#2.低波大市值,W_3,open,0.01,1,0.2,1.0,计划
2026-02-05,平安银行,sz000001,0,0.0,1000.0,2026-02-04,X1-选股精心随机混合#2.低波大市值,W_3,open,0.01,1,0.2,3.0,计划
2026-02-05,宝泰隆,sh601011,0,0.0,,2026-02-04,X1-选股精心随机混合#3.三星选股策略,W_3,1015-1015,,0,,4.0,计划
2026-02-05,新集能源,sh601918,0,0.0,,2026-02-04,X1-选股精心随机混合#3.三星选股策略,W_3,1015-1015,,0,,2.0,计划
2026-02-05,中金岭南,sz000060,0,0.0,,2026-02-04,X1-选股精心随机混合#3.三星选股策略,W_3,1015-1015,,0,,1.0,计划
2026-02-05,智度股份,sz000676,0,0.0,,2026-02-04,X1-选股精心随机混合#3.三星选股策略,W_3,1015-1015,,0,,3.0,计划
2026-02-05,思美传媒,sz002712,0,0.0,,2026-02-04,X1-选股精心随机混合#3.三星选股策略,W_3,1015-1015,,0,,5.0,计划
